"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,25,-12069.8332262215,1,"1"
"2",2,2,0,100,25,-32912.7325908046,1,"2"
"3",2,2,0,100,25,-3701.73806644565,1,"3"
"4",2,2,0,100,25,-5125.57125961766,1,"4"
"5",2,2,0,100,25,-291.790574730904,1,"5"
"6",2,2,0,100,25,-41.4213784160264,1,"6"
"7",2,2,0,100,25,-708.674232094847,1,"7"
"8",2,2,0,100,25,-414.105901169907,1,"8"
"9",2,2,0,100,25,-904.313397781068,1,"9"
"10",2,2,0,100,25,-669.649806108792,1,"10"
"11",2,2,0,100,25,-299.109307386119,1,"11"
"12",2,2,0,100,25,-452.265409142523,1,"12"
"13",2,2,0,100,25,-322.752779247851,1,"13"
"14",2,2,0,100,25,-1231.45803342616,1,"14"
"15",2,2,0,100,25,-2293.12834506454,1,"15"
"16",2,2,0,100,25,-769.463616339168,1,"16"
"17",2,2,0,100,25,-2012.07506240905,1,"17"
"18",2,2,0,100,25,-878.843792762371,1,"18"
"19",2,2,0,100,25,-3669.7267280708,1,"19"
"20",2,2,0,100,25,-730.467099876527,1,"20"
"21",2,2,0,100,25,-5066.804207826,1,"21"
"22",2,2,0,100,25,-13542.6243032614,1,"22"
"23",2,2,0,100,25,-995.793505390659,1,"23"
"24",2,2,0,100,25,-2785.10924578954,1,"24"
"25",2,2,0,100,25,-101.723597444757,1,"25"
"26",3,2,0,100,25,-12481.5435594749,1,"1"
"27",3,2,0,100,25,-33308.5978681788,1,"2"
"28",3,2,0,100,25,-3712.26468052715,1,"3"
"29",3,2,0,100,25,-4995.36865460329,1,"4"
"30",3,2,0,100,25,-305.390964403032,1,"5"
"31",3,2,0,100,25,-43.3913387311874,1,"6"
"32",3,2,0,100,25,-687.434923793055,1,"7"
"33",3,2,0,100,25,-403.368184618209,1,"8"
"34",3,2,0,100,25,-844.00840314427,1,"9"
"35",3,2,0,100,25,-574.342101553784,1,"10"
"36",3,2,0,100,25,-332.871915962676,1,"11"
"37",3,2,0,100,25,-522.386459219656,1,"12"
"38",3,2,0,100,25,-260.897389744553,1,"13"
"39",3,2,0,100,25,-1553.78584498014,1,"14"
"40",3,2,0,100,25,-2862.37565203543,1,"15"
"41",3,2,0,100,25,-1131.70114057099,1,"16"
"42",3,2,0,100,25,-2604.75026651594,1,"17"
"43",3,2,0,100,25,-1105.65146684179,1,"18"
"44",3,2,0,100,25,-3952.57763268266,1,"19"
"45",3,2,0,100,25,-871.131652055774,1,"20"
