"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,26,-17578.9617020315,1,"1"
"2",2,2,0,100,26,-25078.0771616427,1,"2"
"3",2,2,0,100,26,-6430.03155818937,1,"3"
"4",2,2,0,100,26,-6064.61273114346,1,"4"
"5",2,2,0,100,26,-817.644555082219,1,"5"
"6",2,2,0,100,26,-130.311261219917,1,"6"
"7",2,2,0,100,26,-501.229267104184,1,"7"
"8",2,2,0,100,26,-1057.36987573901,1,"8"
"9",2,2,0,100,26,-1751.00199170828,1,"9"
"10",2,2,0,100,26,-925.641687889658,1,"10"
"11",2,2,0,100,26,-320.180196987298,1,"11"
"12",2,2,0,100,26,-222.716795637344,1,"12"
"13",2,2,0,100,26,-397.526950422304,1,"13"
"14",2,2,0,100,26,-2067.98026807674,1,"14"
"15",2,2,0,100,26,-2982.2293018563,1,"15"
"16",2,2,0,100,26,-2453.07673737035,1,"16"
"17",2,2,0,100,26,-3747.69722386029,1,"17"
"18",2,2,0,100,26,-1327.59154936404,1,"18"
"19",2,2,0,100,26,-5189.80483071704,1,"19"
"20",2,2,0,100,26,-5.88438040404126,1,"20"
"21",2,2,0,100,26,-717.973617803435,1,"21"
"22",2,2,0,100,26,-4084.28124221941,1,"22"
"23",2,2,0,100,26,-15765.4001990103,1,"23"
"24",2,2,0,100,26,-2025.18864811793,1,"24"
"25",2,2,0,100,26,-5493.05492660392,1,"25"
"26",2,2,0,100,26,-117.000242485504,1,"26"
"27",3,2,0,100,26,-15939.9426432803,1,"1"
"28",3,2,0,100,26,-23656.5065184164,1,"2"
"29",3,2,0,100,26,-6053.83741655259,1,"3"
"30",3,2,0,100,26,-6135.30933760936,1,"4"
"31",3,2,0,100,26,-829.586139173454,1,"5"
"32",3,2,0,100,26,-128.775452790868,1,"6"
"33",3,2,0,100,26,-504.611274649391,1,"7"
"34",3,2,0,100,26,-1158.75918813204,1,"8"
"35",3,2,0,100,26,-1767.0901264132,1,"9"
"36",3,2,0,100,26,-968.60267640526,1,"10"
"37",3,2,0,100,26,-338.049236047523,1,"11"
"38",3,2,0,100,26,-228.955216482565,1,"12"
"39",3,2,0,100,26,-404.564642972235,1,"13"
"40",3,2,0,100,26,-2168.83119616268,1,"14"
"41",3,2,0,100,26,-3106.68932043512,1,"15"
"42",3,2,0,100,26,-2578.55913451244,1,"16"
"43",3,2,0,100,26,-3878.06263683296,1,"17"
"44",3,2,0,100,26,-1327.91924264106,1,"18"
"45",3,2,0,100,26,-5069.42220151746,1,"19"
"46",3,2,0,100,26,-5.91192359707296,1,"20"
"47",3,2,0,100,26,-741.018703015241,1,"21"
"48",3,2,0,100,26,-4045.43750859253,1,"22"
"49",3,2,0,100,26,-15445.7958886691,1,"23"
"50",3,2,0,100,26,-1973.18596878374,1,"24"
"51",3,2,0,100,26,-5369.36915139878,1,"25"
"52",3,2,0,100,26,-118.240177639092,1,"26"
"53",4,2,0,100,26,-18407.2586126118,1,"1"
"54",4,2,0,100,26,-24188.0019330913,1,"2"
"55",4,2,0,100,26,-6154.90672341175,1,"3"
"56",4,2,0,100,26,-6288.29464382648,1,"4"
"57",4,2,0,100,26,-863.079718683321,1,"5"
"58",4,2,0,100,26,-129.312512293398,1,"6"
"59",4,2,0,100,26,-513.667648381686,1,"7"
"60",4,2,0,100,26,-1122.29609440558,1,"8"
"61",4,2,0,100,26,-1783.6741764881,1,"9"
"62",4,2,0,100,26,-919.04487224824,1,"10"
"63",4,2,0,100,26,-339.747680736172,1,"11"
"64",4,2,0,100,26,-248.245917459167,1,"12"
"65",4,2,0,100,26,-362.15457647146,1,"13"
"66",4,2,0,100,26,-2477.31470865691,1,"14"
"67",4,2,0,100,26,-3423.12031853749,1,"15"
"68",4,2,0,100,26,-3125.136685466,1,"16"
"69",4,2,0,100,26,-3425.7771934959,1,"17"
"70",4,2,0,100,26,-1437.39429595439,1,"18"
"71",4,2,0,100,26,-5176.76464085409,1,"19"
"72",4,2,0,100,26,-5.98377714269726,1,"20"
"73",4,2,0,100,26,-805.276714261231,1,"21"
"74",4,2,0,100,26,-4132.87132018218,1,"22"
"75",4,2,0,100,26,-15804.1871366872,1,"23"
"76",4,2,0,100,26,-1991.18591625301,1,"24"
"77",4,2,0,100,26,-5413.08755417051,1,"25"
"78",4,2,0,100,26,-121.229798562493,1,"26"
"79",5,2,0,100,26,-20083.9681482799,1,"1"
"80",5,2,0,100,26,-24008.2008861653,1,"2"
"81",5,2,0,100,26,-5889.32749027855,1,"3"
"82",5,2,0,100,26,-6222.61747430781,1,"4"
"83",5,2,0,100,26,-866.666322018256,1,"5"
"84",5,2,0,100,26,-135.683233797867,1,"6"
"85",5,2,0,100,26,-514.254362863632,1,"7"
"86",5,2,0,100,26,-1126.16991087148,1,"8"
"87",5,2,0,100,26,-1634.40616289731,1,"9"
"88",5,2,0,100,26,-913.253981852412,1,"10"
"89",5,2,0,100,26,-339.303158721422,1,"11"
"90",5,2,0,100,26,-243.819768894153,1,"12"
"91",5,2,0,100,26,-364.505810262912,1,"13"
"92",5,2,0,100,26,-2536.48362545808,1,"14"
"93",5,2,0,100,26,-3539.87026012234,1,"15"
"94",5,2,0,100,26,-3268.00039280725,1,"16"
"95",5,2,0,100,26,-3414.34839371949,1,"17"
"96",5,2,0,100,26,-1429.36193791714,1,"18"
"97",5,2,0,100,26,-5271.78183913315,1,"19"
"98",5,2,0,100,26,-6.16231591485364,1,"20"
"99",5,2,0,100,26,-821.11820712869,1,"21"
"100",5,2,0,100,26,-4050.87035381885,1,"22"
