"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,26,-39602.3775497283,1,"1"
"2",2,2,0,100,26,-175.907686970222,1,"2"
"3",2,2,0,100,26,-1025.25169026869,1,"3"
"4",2,2,0,100,26,-23352.5123487878,1,"4"
"5",2,2,0,100,26,-23603.2743297854,1,"5"
"6",2,2,0,100,26,-1196.66194149038,1,"6"
"7",2,2,0,100,26,-3432.74796040665,1,"7"
"8",2,2,0,100,26,-1062.05627859635,1,"8"
"9",2,2,0,100,26,-670.345766299864,1,"9"
"10",2,2,0,100,26,-116.733190126498,1,"10"
"11",2,2,0,100,26,-1141.60821069657,1,"11"
"12",2,2,0,100,26,-964.317550708453,1,"12"
"13",2,2,0,100,26,-2347.5499561827,1,"13"
"14",2,2,0,100,26,-1082.2058886027,1,"14"
"15",2,2,0,100,26,-2293.34520667265,1,"15"
"16",2,2,0,100,26,-1327.49384503854,1,"16"
"17",2,2,0,100,26,-1190.51215378728,1,"17"
"18",2,2,0,100,26,-2.53681039047452,1,"18"
"19",2,2,0,100,26,-1803.1562769003,1,"19"
"20",2,2,0,100,26,-147.911681750813,1,"20"
"21",2,2,0,100,26,-722.543399428728,1,"21"
"22",2,2,0,100,26,-497.04333340506,1,"22"
"23",2,2,0,100,26,-144.654879316717,1,"23"
"24",2,2,0,100,26,-895.707676015072,1,"24"
"25",2,2,0,100,26,-326.331869064575,1,"25"
"26",2,2,0,100,26,-2401.59871848469,1,"26"
"27",3,2,0,100,26,-41951.5049750179,1,"1"
"28",3,2,0,100,26,-175.672388841784,1,"2"
"29",3,2,0,100,26,-977.590138627451,1,"3"
"30",3,2,0,100,26,-23329.2077499004,1,"4"
"31",3,2,0,100,26,-22322.5526700767,1,"5"
"32",3,2,0,100,26,-987.066468436749,1,"6"
"33",3,2,0,100,26,-2676.09736654466,1,"7"
"34",3,2,0,100,26,-915.08027496556,1,"8"
"35",3,2,0,100,26,-736.708722979144,1,"9"
"36",3,2,0,100,26,-123.115130501466,1,"10"
"37",3,2,0,100,26,-1037.45902199926,1,"11"
"38",3,2,0,100,26,-1241.94854156779,1,"12"
"39",3,2,0,100,26,-3221.73443259374,1,"13"
"40",3,2,0,100,26,-1727.44451997801,1,"14"
"41",3,2,0,100,26,-3352.67974126392,1,"15"
"42",3,2,0,100,26,-1731.93582694663,1,"16"
"43",3,2,0,100,26,-1470.00126151462,1,"17"
"44",3,2,0,100,26,-2.48723655253474,1,"18"
"45",3,2,0,100,26,-1799.02933436002,1,"19"
"46",3,2,0,100,26,-152.229948150464,1,"20"
"47",3,2,0,100,26,-754.43931818087,1,"21"
"48",3,2,0,100,26,-526.683161590935,1,"22"
"49",3,2,0,100,26,-148.468045838832,1,"23"
"50",3,2,0,100,26,-962.937782174186,1,"24"
"51",3,2,0,100,26,-333.732263095636,1,"25"
"52",3,2,0,100,26,-2445.6452681745,1,"26"
"53",4,2,0,100,26,-44590.4247794495,1,"1"
"54",4,2,0,100,26,-175.68085276487,1,"2"
"55",4,2,0,100,26,-959.485314394848,1,"3"
"56",4,2,0,100,26,-23036.8924013284,1,"4"
"57",4,2,0,100,26,-21832.5914954846,1,"5"
"58",4,2,0,100,26,-1175.6863168249,1,"6"
"59",4,2,0,100,26,-3308.90735413264,1,"7"
"60",4,2,0,100,26,-1323.10598810621,1,"8"
"61",4,2,0,100,26,-816.564545332651,1,"9"
"62",4,2,0,100,26,-127.102736648755,1,"10"
"63",4,2,0,100,26,-976.92259229198,1,"11"
"64",4,2,0,100,26,-1209.17349020393,1,"12"
"65",4,2,0,100,26,-3610.76776374396,1,"13"
"66",4,2,0,100,26,-1971.39490257155,1,"14"
"67",4,2,0,100,26,-3620.5526622032,1,"15"
"68",4,2,0,100,26,-1940.21826146248,1,"16"
"69",4,2,0,100,26,-1641.30338333884,1,"17"
"70",4,2,0,100,26,-2.44689113946997,1,"18"
"71",4,2,0,100,26,-1829.767744455,1,"19"
"72",4,2,0,100,26,-155.196041105039,1,"20"
"73",4,2,0,100,26,-788.442481388655,1,"21"
"74",4,2,0,100,26,-539.127579387961,1,"22"
"75",4,2,0,100,26,-145.658351204734,1,"23"
"76",4,2,0,100,26,-949.506792961543,1,"24"
"77",4,2,0,100,26,-323.835286717796,1,"25"
"78",4,2,0,100,26,-2361.22665500972,1,"26"
"79",5,2,0,100,26,-44374.197569076,1,"1"
"80",5,2,0,100,26,-172.589535458703,1,"2"
"81",5,2,0,100,26,-1034.43408545875,1,"3"
"82",5,2,0,100,26,-23570.0397247,1,"4"
"83",5,2,0,100,26,-23232.5263295554,1,"5"
"84",5,2,0,100,26,-1444.88938592907,1,"6"
"85",5,2,0,100,26,-4069.81703769867,1,"7"
"86",5,2,0,100,26,-1305.43245499771,1,"8"
"87",5,2,0,100,26,-802.951929844783,1,"9"
"88",5,2,0,100,26,-127.270538682734,1,"10"
"89",5,2,0,100,26,-977.421943923015,1,"11"
"90",5,2,0,100,26,-1184.33034949547,1,"12"
"91",5,2,0,100,26,-3449.96954169501,1,"13"
"92",5,2,0,100,26,-1920.20866689981,1,"14"
"93",5,2,0,100,26,-3411.41281495992,1,"15"
"94",5,2,0,100,26,-2013.61869874267,1,"16"
"95",5,2,0,100,26,-1691.21991169785,1,"17"
"96",5,2,0,100,26,-2.42894281892762,1,"18"
"97",5,2,0,100,26,-1769.74194246354,1,"19"
"98",5,2,0,100,26,-150.591250130288,1,"20"
"99",5,2,0,100,26,-727.110915304663,1,"21"
"100",5,2,0,100,26,-509.60296027538,1,"22"
"101",5,2,0,100,26,-146.400847942563,1,"23"
"102",5,2,0,100,26,-935.301974360777,1,"24"
"103",5,2,0,100,26,-322.580419600035,1,"25"
"104",5,2,0,100,26,-2339.04000281039,1,"26"
"105",2,4,0,100,26,-39552.265576852,1,"1"
"106",2,4,0,100,26,-175.839899428013,1,"2"
"107",2,4,0,100,26,-1026.99204525447,1,"3"
"108",2,4,0,100,26,-23358.8979629818,1,"4"
"109",2,4,0,100,26,-23638.0828318144,1,"5"
"110",2,4,0,100,26,-1204.6207826085,1,"6"
"111",2,4,0,100,26,-3455.5531531037,1,"7"
"112",2,4,0,100,26,-1065.19252653012,1,"8"
"113",2,4,0,100,26,-670.241621723016,1,"9"
"114",2,4,0,100,26,-116.726400208075,1,"10"
"115",2,4,0,100,26,-1142.2708026289,1,"11"
"116",2,4,0,100,26,-963.834355871504,1,"12"
"117",2,4,0,100,26,-2345.82384055467,1,"13"
"118",2,4,0,100,26,-1081.07367492539,1,"14"
"119",2,4,0,100,26,-2292.0696989109,1,"15"
"120",2,4,0,100,26,-1326.38999289207,1,"16"
"121",2,4,0,100,26,-1189.49169177205,1,"17"
"122",2,4,0,100,26,-2.53579844609848,1,"18"
"123",2,4,0,100,26,-1802.62996150909,1,"19"
"124",2,4,0,100,26,-147.86339751011,1,"20"
"125",2,4,0,100,26,-722.345084722759,1,"21"
"126",2,4,0,100,26,-496.981316411456,1,"22"
"127",2,4,0,100,26,-144.684842735075,1,"23"
"128",2,4,0,100,26,-895.525227864193,1,"24"
"129",2,4,0,100,26,-326.293693765959,1,"25"
"130",2,4,0,100,26,-2400.59825801215,1,"26"
"131",3,4,0,100,26,-41971.6130170023,1,"1"
"132",3,4,0,100,26,-175.902180491917,1,"2"
"133",3,4,0,100,26,-969.020320133377,1,"3"
"134",3,4,0,100,26,-23156.3026737065,1,"4"
"135",3,4,0,100,26,-22141.8858431885,1,"5"
"136",3,4,0,100,26,-977.344258957759,1,"6"
"137",3,4,0,100,26,-2665.58245963287,1,"7"
"138",3,4,0,100,26,-914.042188466454,1,"8"
"139",3,4,0,100,26,-724.585030121122,1,"9"
"140",3,4,0,100,26,-121.783732831283,1,"10"
"141",3,4,0,100,26,-1051.18429715594,1,"11"
"142",3,4,0,100,26,-1225.66759665073,1,"12"
"143",3,4,0,100,26,-3207.75210432714,1,"13"
"144",3,4,0,100,26,-1720.96304800553,1,"14"
"145",3,4,0,100,26,-3314.61548018715,1,"15"
"146",3,4,0,100,26,-1733.17685933193,1,"16"
"147",3,4,0,100,26,-1468.02331359292,1,"17"
"148",3,4,0,100,26,-2.50113817169291,1,"18"
"149",3,4,0,100,26,-1815.75044155388,1,"19"
"150",3,4,0,100,26,-152.666070199909,1,"20"
"151",3,4,0,100,26,-758.318042582175,1,"21"
"152",3,4,0,100,26,-527.406346586233,1,"22"
"153",3,4,0,100,26,-148.179191038861,1,"23"
"154",3,4,0,100,26,-964.658746030418,1,"24"
"155",3,4,0,100,26,-334.644916236084,1,"25"
"156",3,4,0,100,26,-2465.05506181876,1,"26"
"157",4,4,0,100,26,-44229.5264850824,1,"1"
"158",4,4,0,100,26,-174.785132976019,1,"2"
"159",4,4,0,100,26,-943.110024253932,1,"3"
"160",4,4,0,100,26,-22931.5782986779,1,"4"
"161",4,4,0,100,26,-21635.5654442969,1,"5"
"162",4,4,0,100,26,-1160.14904307338,1,"6"
"163",4,4,0,100,26,-3198.24164882058,1,"7"
"164",4,4,0,100,26,-1336.96328905744,1,"8"
"165",4,4,0,100,26,-827.879263293378,1,"9"
"166",4,4,0,100,26,-129.196182637759,1,"10"
"167",4,4,0,100,26,-968.393145937189,1,"11"
"168",4,4,0,100,26,-1209.40448048986,1,"12"
"169",4,4,0,100,26,-3578.31154748166,1,"13"
"170",4,4,0,100,26,-1970.54285408946,1,"14"
"171",4,4,0,100,26,-3683.95746364285,1,"15"
"172",4,4,0,100,26,-1974.99313231158,1,"16"
"173",4,4,0,100,26,-1671.46925083164,1,"17"
"174",4,4,0,100,26,-2.4470729647757,1,"18"
"175",4,4,0,100,26,-1830.7483079277,1,"19"
"176",4,4,0,100,26,-155.003059284094,1,"20"
"177",4,4,0,100,26,-792.174327907476,1,"21"
"178",4,4,0,100,26,-542.380672503969,1,"22"
"179",4,4,0,100,26,-146.241709634795,1,"23"
"180",4,4,0,100,26,-953.365586280026,1,"24"
"181",4,4,0,100,26,-325.345901288253,1,"25"
"182",4,4,0,100,26,-2365.29052028665,1,"26"
"183",5,4,0,100,26,-44504.9346443327,1,"1"
"184",5,4,0,100,26,-175.830857052011,1,"2"
"185",5,4,0,100,26,-967.827982080782,1,"3"
"186",5,4,0,100,26,-22633.1421848347,1,"4"
"187",5,4,0,100,26,-22479.2699825424,1,"5"
"188",5,4,0,100,26,-1313.58192800138,1,"6"
"189",5,4,0,100,26,-3974.52813945634,1,"7"
"190",5,4,0,100,26,-1323.05555594035,1,"8"
"191",5,4,0,100,26,-829.980654231594,1,"9"
"192",5,4,0,100,26,-142.151422175426,1,"10"
"193",5,4,0,100,26,-946.483815578569,1,"11"
"194",5,4,0,100,26,-1250.22831590592,1,"12"
"195",5,4,0,100,26,-3578.21334672047,1,"13"
"196",5,4,0,100,26,-1957.50446193765,1,"14"
"197",5,4,0,100,26,-3571.82478972664,1,"15"
"198",5,4,0,100,26,-1953.62246815714,1,"16"
"199",5,4,0,100,26,-1657.02121752419,1,"17"
"200",5,4,0,100,26,-2.40768877618899,1,"18"
"201",5,4,0,100,26,-1831.02946190735,1,"19"
"202",5,4,0,100,26,-154.21712809988,1,"20"
"203",5,4,0,100,26,-790.763105478659,1,"21"
"204",5,4,0,100,26,-540.387426035916,1,"22"
"205",5,4,0,100,26,-146.068291062316,1,"23"
"206",5,4,0,100,26,-954.885475788225,1,"24"
"207",5,4,0,100,26,-322.238118400715,1,"25"
"208",5,4,0,100,26,-2362.35654197152,1,"26"
"209",2,6,0,100,26,-39452.0617183032,1,"1"
"210",2,6,0,100,26,-175.688486274135,1,"2"
"211",2,6,0,100,26,-1030.94503908686,1,"3"
"212",2,6,0,100,26,-23382.0136525951,1,"4"
"213",2,6,0,100,26,-23749.0392489911,1,"5"
"214",2,6,0,100,26,-1223.82832766007,1,"6"
"215",2,6,0,100,26,-3516.59955003164,1,"7"
"216",2,6,0,100,26,-1071.74010889098,1,"8"
"217",2,6,0,100,26,-669.705067471526,1,"9"
"218",2,6,0,100,26,-116.71371227169,1,"10"
"219",2,6,0,100,26,-1143.04375571815,1,"11"
"220",2,6,0,100,26,-962.5750028294,1,"12"
"221",2,6,0,100,26,-2342.82809010944,1,"13"
"222",2,6,0,100,26,-1078.69590399959,1,"14"
"223",2,6,0,100,26,-2287.92914746267,1,"15"
"224",2,6,0,100,26,-1324.49671444205,1,"16"
"225",2,6,0,100,26,-1187.78593898058,1,"17"
"226",2,6,0,100,26,-2.5341065551092,1,"18"
"227",2,6,0,100,26,-1799.87461673776,1,"19"
"228",2,6,0,100,26,-147.780642203056,1,"20"
"229",2,6,0,100,26,-721.030364146851,1,"21"
"230",2,6,0,100,26,-496.240300317409,1,"22"
"231",2,6,0,100,26,-144.720034938507,1,"23"
"232",2,6,0,100,26,-894.470533593648,1,"24"
"233",2,6,0,100,26,-326.095156241712,1,"25"
"234",2,6,0,100,26,-2396.53459322657,1,"26"
"235",3,6,0,100,26,-41917.2131331659,1,"1"
"236",3,6,0,100,26,-175.498268218492,1,"2"
"237",3,6,0,100,26,-976.45260350704,1,"3"
"238",3,6,0,100,26,-23348.6850645831,1,"4"
"239",3,6,0,100,26,-22327.145259555,1,"5"
"240",3,6,0,100,26,-986.805164081376,1,"6"
"241",3,6,0,100,26,-2663.23498680835,1,"7"
"242",3,6,0,100,26,-915.690751572456,1,"8"
"243",3,6,0,100,26,-743.337669729868,1,"9"
"244",3,6,0,100,26,-123.829187671997,1,"10"
"245",3,6,0,100,26,-1034.21983724736,1,"11"
"246",3,6,0,100,26,-1251.36475039296,1,"12"
"247",3,6,0,100,26,-3229.19151113662,1,"13"
"248",3,6,0,100,26,-1733.2237185537,1,"14"
"249",3,6,0,100,26,-3386.06736405222,1,"15"
"250",3,6,0,100,26,-1734.62515667503,1,"16"
"251",3,6,0,100,26,-1473.74588970998,1,"17"
"252",3,6,0,100,26,-2.48179747761151,1,"18"
"253",3,6,0,100,26,-1792.04096584265,1,"19"
"254",3,6,0,100,26,-151.864567281327,1,"20"
"255",3,6,0,100,26,-752.424757881335,1,"21"
"256",3,6,0,100,26,-524.915908213772,1,"22"
"257",3,6,0,100,26,-148.188808096108,1,"23"
"258",3,6,0,100,26,-959.790534965007,1,"24"
"259",3,6,0,100,26,-332.966406475623,1,"25"
"260",3,6,0,100,26,-2434.45019628263,1,"26"
"261",4,6,0,100,26,-44102.6232319181,1,"1"
"262",4,6,0,100,26,-174.703707923453,1,"2"
"263",4,6,0,100,26,-941.713185076524,1,"3"
"264",4,6,0,100,26,-22849.653122582,1,"4"
"265",4,6,0,100,26,-21589.7276862107,1,"5"
"266",4,6,0,100,26,-1168.47428563038,1,"6"
"267",4,6,0,100,26,-3256.69607783304,1,"7"
"268",4,6,0,100,26,-1345.22432286272,1,"8"
"269",4,6,0,100,26,-830.58011507949,1,"9"
"270",4,6,0,100,26,-129.001840127362,1,"10"
"271",4,6,0,100,26,-966.936348391475,1,"11"
"272",4,6,0,100,26,-1211.68831457792,1,"12"
"273",4,6,0,100,26,-3587.27415904311,1,"13"
"274",4,6,0,100,26,-1974.17408868643,1,"14"
"275",4,6,0,100,26,-3691.17900014851,1,"15"
"276",4,6,0,100,26,-1975.46435073706,1,"16"
"277",4,6,0,100,26,-1670.96847644044,1,"17"
"278",4,6,0,100,26,-2.4436582931386,1,"18"
"279",4,6,0,100,26,-1828.57132339438,1,"19"
"280",4,6,0,100,26,-154.980700002526,1,"20"
"281",4,6,0,100,26,-790.187441513252,1,"21"
"282",4,6,0,100,26,-540.528290047341,1,"22"
"283",4,6,0,100,26,-145.851584504057,1,"23"
"284",4,6,0,100,26,-950.558635269717,1,"24"
"285",4,6,0,100,26,-324.479463184118,1,"25"
