"","k","seed","cpts","nit","nfolds","sum_loglik","ntests","test_steps"
"1",2,2,0,100,27,-44184.3154396026,1,"1"
"2",2,2,0,100,27,-417.469847272436,1,"2"
"3",2,2,0,100,27,-1411.75261057524,1,"3"
"4",2,2,0,100,27,-32010.1628540096,1,"4"
"5",2,2,0,100,27,-34137.9690695418,1,"5"
"6",2,2,0,100,27,-1547.59683643228,1,"6"
"7",2,2,0,100,27,-5473.53993844792,1,"7"
"8",2,2,0,100,27,-38.0220567305698,1,"8"
"9",2,2,0,100,27,-715.53039090486,1,"9"
"10",2,2,0,100,27,-1953.81527457129,1,"10"
"11",2,2,0,100,27,-34.721250746455,1,"11"
"12",2,2,0,100,27,-1299.98477328165,1,"12"
"13",2,2,0,100,27,-704.91479944714,1,"13"
"14",2,2,0,100,27,-3177.7943693699,1,"14"
"15",2,2,0,100,27,-3153.42337080143,1,"15"
"16",2,2,0,100,27,-2016.12779635893,1,"16"
"17",2,2,0,100,27,-1438.821679448,1,"17"
"18",2,2,0,100,27,-1018.16360598939,1,"18"
"19",2,2,0,100,27,-32.0749428660337,1,"19"
"20",2,2,0,100,27,-1818.85657548615,1,"20"
"21",2,2,0,100,27,-178.976500292946,1,"21"
"22",2,2,0,100,27,-643.339603287644,1,"22"
"23",2,2,0,100,27,-569.918112543815,1,"23"
"24",2,2,0,100,27,-943.207080125981,1,"24"
"25",2,2,0,100,27,-1069.64261010992,1,"25"
"26",2,2,0,100,27,-789.603219089814,1,"26"
"27",2,2,0,100,27,-3014.73529989383,1,"27"
"28",3,2,0,100,27,-47330.912642084,1,"1"
"29",3,2,0,100,27,-431.299357330938,1,"2"
"30",3,2,0,100,27,-1444.80757259646,1,"3"
"31",3,2,0,100,27,-29325.245210194,1,"4"
"32",3,2,0,100,27,-31272.3101303521,1,"5"
"33",3,2,0,100,27,-1686.20052025699,1,"6"
"34",3,2,0,100,27,-6610.12534184163,1,"7"
"35",3,2,0,100,27,-41.3062059217842,1,"8"
"36",3,2,0,100,27,-940.760622500849,1,"9"
"37",3,2,0,100,27,-1821.83101714693,1,"10"
"38",3,2,0,100,27,-34.1658905634665,1,"11"
"39",3,2,0,100,27,-1349.6356279059,1,"12"
"40",3,2,0,100,27,-677.96860875402,1,"13"
"41",3,2,0,100,27,-3152.84575303382,1,"14"
"42",3,2,0,100,27,-3167.20739612587,1,"15"
"43",3,2,0,100,27,-1946.68645165253,1,"16"
"44",3,2,0,100,27,-1523.44389042506,1,"17"
"45",3,2,0,100,27,-1067.56327757783,1,"18"
"46",3,2,0,100,27,-33.4552785477982,1,"19"
"47",3,2,0,100,27,-1971.99852246544,1,"20"
"48",3,2,0,100,27,-182.715790057503,1,"21"
"49",3,2,0,100,27,-661.046107061347,1,"22"
"50",3,2,0,100,27,-576.569787536982,1,"23"
"51",3,2,0,100,27,-938.633779715758,1,"24"
"52",3,2,0,100,27,-1072.70367045057,1,"25"
"53",3,2,0,100,27,-787.519468843118,1,"26"
"54",3,2,0,100,27,-3109.82446755429,1,"27"
"55",4,2,0,100,27,-47130.189776918,1,"1"
"56",4,2,0,100,27,-413.226938228615,1,"2"
"57",4,2,0,100,27,-1331.74714024086,1,"3"
"58",4,2,0,100,27,-28685.7019669445,1,"4"
"59",4,2,0,100,27,-30538.9308268173,1,"5"
"60",4,2,0,100,27,-1641.96328311408,1,"6"
"61",4,2,0,100,27,-5318.1425920611,1,"7"
"62",4,2,0,100,27,-42.70088448515,1,"8"
"63",4,2,0,100,27,-840.853243382269,1,"9"
"64",4,2,0,100,27,-2362.23288158979,1,"10"
"65",4,2,0,100,27,-38.707118960753,1,"11"
"66",4,2,0,100,27,-1243.89331128034,1,"12"
"67",4,2,0,100,27,-815.402021032195,1,"13"
"68",4,2,0,100,27,-4201.98941424527,1,"14"
"69",4,2,0,100,27,-4418.64683732578,1,"15"
"70",4,2,0,100,27,-2452.13920182377,1,"16"
"71",4,2,0,100,27,-1928.19007065882,1,"17"
"72",4,2,0,100,27,-1287.74628823515,1,"18"
"73",4,2,0,100,27,-34.6283408373552,1,"19"
"74",4,2,0,100,27,-1870.42153709319,1,"20"
"75",4,2,0,100,27,-185.981807902406,1,"21"
"76",4,2,0,100,27,-695.17912860325,1,"22"
"77",4,2,0,100,27,-614.121194412632,1,"23"
"78",4,2,0,100,27,-984.781845044259,1,"24"
"79",4,2,0,100,27,-1169.5159063924,1,"25"
"80",4,2,0,100,27,-807.279724909726,1,"26"
"81",4,2,0,100,27,-3079.35208871264,1,"27"
"82",5,2,0,100,27,-47731.1786198197,1,"1"
"83",5,2,0,100,27,-418.234120731237,1,"2"
"84",5,2,0,100,27,-1480.16998048527,1,"3"
"85",5,2,0,100,27,-30061.2870365928,1,"4"
"86",5,2,0,100,27,-32254.2390237884,1,"5"
"87",5,2,0,100,27,-1558.36203290563,1,"6"
"88",5,2,0,100,27,-6064.75099657832,1,"7"
"89",5,2,0,100,27,-38.9077354599336,1,"8"
"90",5,2,0,100,27,-907.69863555261,1,"9"
"91",5,2,0,100,27,-2243.41061236176,1,"10"
"92",5,2,0,100,27,-37.6340797766781,1,"11"
"93",5,2,0,100,27,-1407.88713687166,1,"12"
"94",5,2,0,100,27,-751.266468616638,1,"13"
"95",5,2,0,100,27,-4177.15835073892,1,"14"
"96",5,2,0,100,27,-4426.29244099252,1,"15"
"97",5,2,0,100,27,-2160.2884971332,1,"16"
"98",5,2,0,100,27,-2034.16275638987,1,"17"
"99",5,2,0,100,27,-1325.76900409801,1,"18"
"100",5,2,0,100,27,-35.1641175084964,1,"19"
"101",5,2,0,100,27,-2054.86086173711,1,"20"
"102",5,2,0,100,27,-174.032754058505,1,"21"
"103",5,2,0,100,27,-664.8127046872,1,"22"
"104",5,2,0,100,27,-604.455787961689,1,"23"
"105",5,2,0,100,27,-982.584454949976,1,"24"
"106",5,2,0,100,27,-1156.59187224243,1,"25"
"107",5,2,0,100,27,-771.49683021464,1,"26"
"108",5,2,0,100,27,-3027.72554183584,1,"27"
"109",2,4,0,100,27,-44218.2488295094,1,"1"
"110",2,4,0,100,27,-417.934269798189,1,"2"
"111",2,4,0,100,27,-1411.07816061012,1,"3"
"112",2,4,0,100,27,-31976.1126875138,1,"4"
"113",2,4,0,100,27,-34071.1358829098,1,"5"
"114",2,4,0,100,27,-1535.84683081121,1,"6"
"115",2,4,0,100,27,-5441.90894189601,1,"7"
"116",2,4,0,100,27,-38.0312953277531,1,"8"
"117",2,4,0,100,27,-715.972435683478,1,"9"
"118",2,4,0,100,27,-1955.88721613512,1,"10"
"119",2,4,0,100,27,-34.747205219297,1,"11"
"120",2,4,0,100,27,-1299.80136855561,1,"12"
"121",2,4,0,100,27,-705.371900366817,1,"13"
"122",2,4,0,100,27,-3180.49672631459,1,"14"
"123",2,4,0,100,27,-3156.24353995947,1,"15"
"124",2,4,0,100,27,-2018.17605739453,1,"16"
"125",2,4,0,100,27,-1440.39223595018,1,"17"
"126",2,4,0,100,27,-1019.2976028936,1,"18"
"127",2,4,0,100,27,-32.0879033580121,1,"19"
"128",2,4,0,100,27,-1819.98757005488,1,"20"
"129",2,4,0,100,27,-179.087577009554,1,"21"
"130",2,4,0,100,27,-643.695778702635,1,"22"
"131",2,4,0,100,27,-570.189542482725,1,"23"
"132",2,4,0,100,27,-943.498983715282,1,"24"
"133",2,4,0,100,27,-1070.40079132843,1,"25"
"134",2,4,0,100,27,-790.079919216552,1,"26"
"135",2,4,0,100,27,-3016.80544308628,1,"27"
"136",3,4,0,100,27,-47290.7155037379,1,"1"
"137",3,4,0,100,27,-431.209774786359,1,"2"
"138",3,4,0,100,27,-1441.76803950903,1,"3"
"139",3,4,0,100,27,-29301.7455407922,1,"4"
"140",3,4,0,100,27,-31257.5996634696,1,"5"
"141",3,4,0,100,27,-1690.79081792881,1,"6"
"142",3,4,0,100,27,-6623.82307967849,1,"7"
"143",3,4,0,100,27,-41.476937966254,1,"8"
"144",3,4,0,100,27,-947.251647104342,1,"9"
"145",3,4,0,100,27,-1822.08735155809,1,"10"
"146",3,4,0,100,27,-34.1703351574298,1,"11"
"147",3,4,0,100,27,-1347.86174616743,1,"12"
"148",3,4,0,100,27,-678.462401657085,1,"13"
"149",3,4,0,100,27,-3146.72633658215,1,"14"
"150",3,4,0,100,27,-3160.42070646818,1,"15"
"151",3,4,0,100,27,-1947.64636442425,1,"16"
"152",3,4,0,100,27,-1520.62749494809,1,"17"
"153",3,4,0,100,27,-1065.59090161602,1,"18"
"154",3,4,0,100,27,-33.4843557916103,1,"19"
"155",3,4,0,100,27,-1972.39661855246,1,"20"
"156",3,4,0,100,27,-182.777639799577,1,"21"
"157",3,4,0,100,27,-661.374373941091,1,"22"
"158",3,4,0,100,27,-577.33526980336,1,"23"
"159",3,4,0,100,27,-939.846712105576,1,"24"
"160",3,4,0,100,27,-1074.26624403097,1,"25"
"161",3,4,0,100,27,-787.675565654277,1,"26"
"162",3,4,0,100,27,-3113.09885972929,1,"27"
"163",4,4,0,100,27,-47911.4963202586,1,"1"
"164",4,4,0,100,27,-416.784706676668,1,"2"
"165",4,4,0,100,27,-1371.06390070377,1,"3"
"166",4,4,0,100,27,-29120.0095666748,1,"4"
"167",4,4,0,100,27,-31125.0075353415,1,"5"
"168",4,4,0,100,27,-1582.20557405309,1,"6"
"169",4,4,0,100,27,-5025.58443200897,1,"7"
"170",4,4,0,100,27,-42.3118856536307,1,"8"
"171",4,4,0,100,27,-820.549659152028,1,"9"
