"period","censusdate","era","oera","plot_type","oplottype","total_e","dipo_e","smgran_e","tinygran_e","pb_e","pp_e","nplots","total_e_ma","dipo_e_ma","smgran_e_ma","pb_e_ma","pp_e_ma","tinygran_e_ma"
119,1988-02-21,"a_pre_pb","a_pre_pb","CC","CC",459.440937749248,414.170273823136,45.2706639261115,45.2706639261115,0,0,4,459.440937749248,414.170273823136,45.2706639261115,0,0,45.2706639261115
119,1988-02-21,"a_pre_pb","a_pre_pb","EE","EE",277.336091653681,80.9616977087582,196.374393944923,196.374393944923,0,0,5,277.336091653681,80.9616977087582,196.374393944923,0,0,196.374393944923
120,1988-03-20,"a_pre_pb","a_pre_pb","CC","CC",607.949711601059,545.909812928271,62.0398986727876,62.0398986727876,0,12.431016814566,4,533.695324675153,480.040043375704,53.6552812994496,0,6.21550840728301,53.6552812994496
120,1988-03-20,"a_pre_pb","a_pre_pb","EE","EE",183.150148088962,36.5348772840934,146.615270804869,146.615270804869,0,10.7625395104561,5,230.243119871322,58.7482874964258,171.494832374896,0,5.38126975522807,171.494832374896
121,1988-04-17,"a_pre_pb","a_pre_pb","CC","CC",310.407825099366,280.515203007201,29.8926220921651,29.8926220921651,0,13.9545792396857,4,459.266158149891,413.531763252869,45.7343948970214,0,8.79519868475056,45.7343948970214
121,1988-04-17,"a_pre_pb","a_pre_pb","EE","EE",123.229892831715,0,123.229892831715,123.229892831715,0,22.7237016840651,5,194.572044191453,39.1655249976172,155.406519193835,0,11.1620803981737,155.406519193835
122,1988-05-14,"a_pre_pb","a_pre_pb","CC","CC",454.399645546491,440.94647115842,13.4531743880702,13.4531743880702,0,13.4531743880702,4,458.049529999041,420.385440229257,37.6640897697836,0,9.95969261058046,37.6640897697836
122,1988-05-14,"a_pre_pb","a_pre_pb","EE","EE",92.1709798083861,0,92.1709798083861,92.1709798083861,0,42.9298209939528,5,168.971778095686,29.3741437482129,139.597634347473,0,19.1040155471185,139.597634347473
123,1988-06-11,"a_pre_pb","a_pre_pb","CC","CC",450.593230132794,421.268962693374,29.3242674394206,29.3242674394206,0,12.9454596616762,4,456.558270025792,420.562144722081,35.996125303711,0,10.5568460207996,35.996125303711
123,1988-06-11,"a_pre_pb","a_pre_pb","EE","EE",108.400228626445,0,108.400228626445,108.400228626445,0,42.0656284021864,5,156.857468201838,23.4993149985703,133.358153203268,0,23.6963381181321,133.358153203268
124,1988-07-14,"a_pre_pb","a_pre_pb","CC","CC",413.349840444317,389.538823629751,23.811016814566,23.811016814566,0,12.431016814566,4,449.356865095546,415.391591206692,33.9652738888535,0,10.8692078197607,33.9652738888535
124,1988-07-14,"a_pre_pb","a_pre_pb","EE","EE",79.8069182523986,0,79.8069182523986,79.8069182523986,0,32.2673912544255,5,144.015709876931,19.5827624988086,124.432947378123,0,25.124846974181,124.432947378123
125,1988-08-09,"a_pre_pb","a_pre_pb","CC","CC",502.566828264095,458.82442349386,43.7424047702356,43.7424047702356,0,22.2048952417302,4,456.544513514687,422.833949485146,33.7105640295408,0,14.5700236933824,33.7105640295408
125,1988-08-09,"a_pre_pb","a_pre_pb","EE","EE",125.304926248949,0,125.304926248949,125.304926248949,0,82.4089321855559,5,118.677182309476,6.08914621401556,112.58803609546,0,38.859669005107,112.58803609546
126,1988-09-11,"a_pre_pb","a_pre_pb","CC","CC",287.481879014436,254.96407613963,32.5178028748061,32.5178028748061,0,22.2222825137491,4,403.133208083583,374.342993353706,28.7902147298773,0,16.2019013099129,28.7902147298773
126,1988-09-11,"a_pre_pb","a_pre_pb","EE","EE",43.6040990251686,0,43.6040990251686,43.6040990251686,0,9.104,5,95.4195074655104,0,95.4195074655104,0,38.5832457533643,95.4195074655104
127,1988-10-08,"a_pre_pb","a_pre_pb","CC","CC",456.042363288217,456.042363288217,0,0,0,0,4,427.405631115058,403.597520067209,23.8081110478498,0,13.8761381032986,23.8081110478498
127,1988-10-08,"a_pre_pb","a_pre_pb","EE","EE",20.6257587125907,0,20.6257587125907,20.6257587125907,0,8.67382601099927,5,78.3188184456564,0,78.3188184456564,0,36.2415998078533,78.3188184456564
128,1988-11-05,"a_pre_pb","a_pre_pb","CC","CC",498.088693393195,414.740611820279,83.348081572916,83.348081572916,0,0,4,434.687139089509,399.229876844185,35.4572622453241,0,11.6339423719536,35.4572622453241
128,1988-11-05,"a_pre_pb","a_pre_pb","EE","EE",59.5270963792734,0,59.5270963792734,59.5270963792734,0,0,5,72.8781712074709,0,72.8781712074709,0,29.0866296421945,72.8781712074709
129,1988-12-13,"a_pre_pb","a_pre_pb","CC","CC",556.042899365898,447.384836007376,108.658063358522,108.658063358522,0,0,4,452.262083961693,403.582522396519,48.6795615651742,0,9.47636576167421,48.6795615651742
129,1988-12-13,"a_pre_pb","a_pre_pb","EE","EE",102.920320225048,0,102.920320225048,102.920320225048,0,0,5,71.9648531405714,0,71.9648531405714,0,22.0756915751634,71.9648531405714
130,1989-01-10,"a_pre_pb","a_pre_pb","CC","CC",459.464666531252,377.756254985288,81.7084115459636,81.7084115459636,0,0,4,459.947888309516,401.618760955775,58.3291273537405,0,7.40452962591321,58.3291273537405
130,1989-01-10,"a_pre_pb","a_pre_pb","EE","EE",144.084974157288,0,144.084974157288,144.084974157288,0,0,5,82.677862458053,0,82.677862458053,0,16.6977930327592,82.677862458053
131,1989-02-04,"a_pre_pb","a_pre_pb","CC","CC",562.541832463759,422.688277484006,139.853554979753,139.853554979753,0,0,4,469.943722342793,395.596069954133,74.3476523886602,0,3.70371375229152,74.3476523886602
131,1989-02-04,"a_pre_pb","a_pre_pb","EE","EE",205.252702337753,19.4415895204093,185.811112817344,185.811112817344,0,0,5,96.0024918061871,3.24026492006822,92.7622268861189,0,2.96297100183321,92.7622268861189
132,1989-03-12,"a_pre_pb","a_pre_pb","CC","CC",427.30881220658,316.94596858872,110.36284361786,110.36284361786,0,0,4,493.24821120815,405.926385362314,87.3218258458358,0,0,87.3218258458358
132,1989-03-12,"a_pre_pb","a_pre_pb","EE","EE",204.135181825185,0,204.135181825185,204.135181825185,0,0,5,122.757672272857,3.24026492006822,119.517407352788,0,1.44563766849988,119.517407352788
133,1989-04-01,"a_pre_pb","a_pre_pb","CC","CC",406.784472033482,332.57338183543,74.2110901980514,74.2110901980514,0,10.8422825137491,4,485.038562665694,385.34822178685,99.6903408788444,0,1.80704708562485,99.6903408788444
133,1989-04-01,"a_pre_pb","a_pre_pb","EE","EE",174.013590437711,0,174.013590437711,174.013590437711,0,44.6069802157215,5,148.32231089371,3.24026492006822,145.082045973642,0,7.43449670262026,145.082045973642
134,1989-05-09,"a_pre_pb","a_pre_pb","CC","CC",307.27428879074,277.822503701005,29.4517850897356,29.4517850897356,0,0,4,453.236161898618,362.528537100304,90.7076247983143,0,1.80704708562485,90.7076247983143
134,1989-05-09,"a_pre_pb","a_pre_pb","EE","EE",153.313682381312,0,153.313682381312,153.313682381312,0,0,5,163.953408560716,3.24026492006822,160.713143640648,0,7.43449670262026,160.713143640648
135,1989-06-03,"a_pre_pb","a_pre_pb","CC","CC",374.285770538216,323.14303477131,51.1427357669056,51.1427357669056,0,0,4,422.943307094005,341.821570227626,81.1217368663783,0,1.80704708562485,81.1217368663783
135,1989-06-03,"a_pre_pb","a_pre_pb","EE","EE",178.852713336873,13.1030462221955,165.749667114678,165.749667114678,0,0,5,176.608807412687,5.42410595710081,171.184701455587,0,7.43449670262026,171.184701455587
136,1989-07-03,"a_pre_pb","a_pre_pb","CC","CC",286.739280364249,258.767925146587,27.9713552176619,27.9713552176619,0,11.38,4,394.155742732838,321.990181921176,72.1655608116614,0,3.70371375229152,72.1655608116614
136,1989-07-03,"a_pre_pb","a_pre_pb","EE","EE",109.360002539186,20.1006747282438,89.2593278109422,89.2593278109422,0,11.5600382923166,5,170.821312143004,8.77421841180811,162.047093731196,0,9.36116975133968,162.047093731196
137,1989-07-29,"a_pre_pb","a_pre_pb","CC","CC",469.915746671126,463.14915818676,6.76658848436548,6.76658848436548,0,0,4,378.718061767399,328.733662038302,49.9843997290967,0,3.70371375229152,49.9843997290967
137,1989-07-29,"a_pre_pb","a_pre_pb","EE","EE",111.292573348443,46.1262454678955,65.1663278805476,65.1663278805476,0,19.4723133561913,5,155.161290644785,13.2216610697225,141.939629575063,0,12.6065553107049,141.939629575063
138,1989-09-03,"a_pre_pb","a_pre_pb","CC","CC",289.888911264384,289.888911264384,0,0,0,0,4,355.814744943699,324.224152484246,31.5905924594533,0,3.70371375229152,31.5905924594533
