"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","brown_trtmnt","granivore","omnivore","small_granivore","small_omnivore","dipo","offset_year","type","energy"
1,1,1977-07-16,7,16,1977,"control",3,23,"NA","M",33,162.5347738,"0","0","dipo_absent",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
1,1,1977-07-16,7,16,1977,"control",3,26,"DM","M",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",3,55,"DM","M",35,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",8,55,"DM",NA,NA,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",3,72,"DS","F",48,119.9275604,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
1,1,1977-07-16,7,17,1977,"control",11,14,"DS","F",48,119.9275604,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",206.206103493489
1,1,1977-07-16,7,17,1977,"control",14,15,"DM","F",34,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",15,16,"NA","F",31,162.5347738,"0","0","dipo_absent",0,1,FALSE,FALSE,FALSE,1977,"other",259.013252088968
1,1,1977-07-16,7,17,1977,"control",15,36,"DM","M",31,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",15,43,"DM","M",36,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,45,"DM","M",38,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,51,"PP","M",NA,17.61851292,"0","0","dipo_present",1,0,TRUE,FALSE,FALSE,1977,"small_granivore",48.9315759427635
1,1,1977-07-16,7,17,1977,"control",15,54,"DM","F",37,43.52721657,"0","0","dipo_absent",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,62,"DM","F",36,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,76,"DM","F",35,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,77,"DM","F",36,43.52721657,"0","0","dipo_present",1,0,FALSE,FALSE,TRUE,1977,"dipo",96.4235104463235
