"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","heske_trtmnt","granivore","omnivore","small_granivore","grasshopper","dipo","type","energy"
1,1,1977-07-16,7,16,1977,"control",3,23,"NA","M",33,162.5347738,"0","0","exclosure_1977",0,1,FALSE,FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,16,1977,"control",3,26,"DM","M",35,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",6,46,"PF","F",20,7.899749373,"0","0","exclosure_1988",1,0,TRUE,FALSE,FALSE,"small_granivore",26.8115703456281
1,1,1977-07-16,7,16,1977,"control",3,55,"DM","M",35,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",8,55,"DM",NA,NA,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",6,56,"DM","F",36,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",3,72,"DS","F",48,119.9275604,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",206.206103493489
1,1,1977-07-16,7,17,1977,"control",11,14,"DS","F",48,119.9275604,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",206.206103493489
1,1,1977-07-16,7,17,1977,"control",14,15,"DM","F",34,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",15,16,"NA","F",31,162.5347738,"0","0","exclosure_1977",0,1,FALSE,FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,17,1977,"control",13,24,"DM","M",36,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",13,33,"SH","M",21,88.46170213,"0","0","exclosure_1988",0,1,FALSE,FALSE,FALSE,"other",164.126510130875
1,1,1977-07-16,7,17,1977,"control",15,36,"DM","M",31,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",15,43,"DM","M",36,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,45,"DM","M",38,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,51,"PP","M",NA,17.61851292,"0","0","control",1,0,TRUE,FALSE,FALSE,"small_granivore",48.9315759427635
1,1,1977-07-16,7,17,1977,"control",15,54,"DM","F",37,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,62,"DM","F",36,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",13,66,"DM","F",38,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,76,"DM","F",35,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,77,"DM","F",36,43.52721657,"0","0","control",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",20,11,"DM","M",36,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",18,13,"DS","F",46,119.9275604,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",206.206103493489
1,1,1977-07-16,7,18,1977,"control",21,14,"DM","M",36,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",18,21,"DM","F",35,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",19,22,"DM","M",35,43.52721657,"0","0","exclosure_1977",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",18,23,"DM","M",32,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"control",20,23,"DM","F",36,43.52721657,"0","0","exclosure_1988",1,0,FALSE,FALSE,TRUE,"dipo",96.4235104463235
