"period","type","plot","heske_trtmnt","nind"
1,"dipo","8","control",1
2,"dipo","8","control",2
3,"dipo","8","control",1
4,"dipo","8","control",3
5,"dipo","8","control",2
6,"dipo","8","control",3
7,"dipo","8","control",2
8,"dipo","8","control",2
9,"dipo","8","control",3
10,"dipo","8","control",3
11,"dipo","8","control",3
12,"dipo","8","control",4
13,"dipo","8","control",4
14,"dipo","8","control",2
15,"dipo","8","control",5
16,"dipo","8","control",4
17,"dipo","8","control",4
18,"dipo","8","control",2
19,"dipo","8","control",1
20,"dipo","8","control",3
21,"dipo","8","control",2
22,"dipo","8","control",1
23,"dipo","8","control",2
24,"dipo","8","control",1
25,"dipo","8","control",1
26,"dipo","8","control",1
27,"dipo","8","control",1
28,"dipo","8","control",3
29,"dipo","8","control",2
30,"dipo","8","control",4
31,"dipo","8","control",3
32,"dipo","8","control",2
33,"dipo","8","control",2
34,"dipo","8","control",2
35,"dipo","8","control",2
36,"dipo","8","control",2
37,"dipo","8","control",1
38,"dipo","8","control",1
39,"dipo","8","control",1
40,"dipo","8","control",5
41,"dipo","8","control",4
42,"dipo","8","control",4
43,"dipo","8","control",4
44,"dipo","8","control",4
45,"dipo","8","control",4
46,"dipo","8","control",3
47,"dipo","8","control",4
48,"dipo","8","control",1
49,"dipo","8","control",1
50,"dipo","8","control",1
51,"dipo","8","control",0
52,"dipo","8","control",3
53,"dipo","8","control",3
54,"dipo","8","control",0
55,"dipo","8","control",4
56,"dipo","8","control",3
57,"dipo","8","control",3
58,"dipo","8","control",4
59,"dipo","8","control",3
60,"dipo","8","control",5
61,"dipo","8","control",5
62,"dipo","8","control",4
63,"dipo","8","control",3
64,"dipo","8","control",3
65,"dipo","8","control",4
66,"dipo","8","control",5
67,"dipo","8","control",7
68,"dipo","8","control",3
69,"dipo","8","control",5
70,"dipo","8","control",3
71,"dipo","8","control",2
72,"dipo","8","control",6
73,"dipo","8","control",0
74,"dipo","8","control",3
75,"dipo","8","control",3
76,"dipo","8","control",3
77,"dipo","8","control",3
78,"dipo","8","control",1
79,"dipo","8","control",2
80,"dipo","8","control",4
81,"dipo","8","control",3
82,"dipo","8","control",4
83,"dipo","8","control",7
84,"dipo","8","control",7
85,"dipo","8","control",3
86,"dipo","8","control",3
87,"dipo","8","control",3
88,"dipo","8","control",5
89,"dipo","8","control",4
90,"dipo","8","control",4
91,"dipo","8","control",5
92,"dipo","8","control",3
93,"dipo","8","control",10
94,"dipo","8","control",10
95,"dipo","8","control",7
96,"dipo","8","control",7
97,"dipo","8","control",4
98,"dipo","8","control",3
99,"dipo","8","control",4
100,"dipo","8","control",2
101,"dipo","8","control",4
102,"dipo","8","control",3
103,"dipo","8","control",3
104,"dipo","8","control",4
105,"dipo","8","control",4
106,"dipo","8","control",2
107,"dipo","8","control",5
108,"dipo","8","control",4
109,"dipo","8","control",7
110,"dipo","8","control",5
111,"dipo","8","control",5
112,"dipo","8","control",7
113,"dipo","8","control",5
114,"dipo","8","control",3
115,"dipo","8","control",5
116,"dipo","8","control",4
117,"dipo","8","control",7
118,"dipo","8","control",6
119,"dipo","8","control",8
120,"dipo","8","control",5
121,"dipo","8","control",7
122,"dipo","8","control",7
123,"dipo","8","control",8
124,"dipo","8","control",7
125,"dipo","8","control",6
126,"dipo","8","control",4
127,"dipo","8","control",8
128,"dipo","8","control",7
129,"dipo","8","control",6
130,"dipo","8","control",8
131,"dipo","8","control",6
132,"dipo","8","control",6
133,"dipo","8","control",6
134,"dipo","8","control",8
135,"dipo","8","control",7
136,"dipo","8","control",6
137,"dipo","8","control",6
138,"dipo","8","control",5
139,"dipo","8","control",8
140,"dipo","8","control",6
141,"dipo","8","control",8
142,"dipo","8","control",6
143,"dipo","8","control",7
144,"dipo","8","control",8
