"period","heske_trtmnt","type","year","month","nind","biomass","energy"
1,"exclosure_1977","other",1977,7,2,325.0695476,518.026504177937
2,"exclosure_1977","other",1977,8,1,162.5347738,259.013252088968
3,"exclosure_1977","other",1977,9,0,0,0
4,"exclosure_1977","other",1977,10,0,0,0
5,"exclosure_1977","other",1977,11,3,0,0
6,"exclosure_1977","other",1977,12,2,0,0
7,"exclosure_1977","other",1978,1,3,162.5347738,259.013252088968
8,"exclosure_1977","other",1978,2,1,0,0
9,"exclosure_1977","other",1978,3,2,232,338.242561909173
10,"exclosure_1977","other",1978,4,2,182,281.945915474252
11,"exclosure_1977","other",1978,5,2,182,281.945915474252
12,"exclosure_1977","other",1978,6,2,0,0
13,"exclosure_1977","other",1978,7,3,305,491.009155651807
14,"exclosure_1977","other",1978,8,2,196,298.060427430412
15,"exclosure_1977","other",1978,9,1,141,232.823385949575
16,"exclosure_1977","other",1978,10,1,162.5347738,259.013252088968
17,"exclosure_1977","other",1978,11,2,0,0
18,"exclosure_1977","other",1978,12,1,0,0
19,"exclosure_1977","other",1979,1,3,0,0
20,"exclosure_1977","other",1979,2,2,0,0
21,"exclosure_1977","other",1979,3,4,0,0
22,"exclosure_1977","other",1979,4,3,0,0
23,"exclosure_1977","other",1979,5,2,0,0
24,"exclosure_1977","other",1979,7,1,0,0
25,"exclosure_1977","other",1979,7,0,0,0
26,"exclosure_1977","other",1979,8,1,0,0
27,"exclosure_1977","other",1979,9,1,0,0
28,"exclosure_1977","other",1979,10,1,0,0
29,"exclosure_1977","other",1979,11,0,0,0
30,"exclosure_1977","other",1980,1,0,0,0
31,"exclosure_1977","other",1980,2,0,0,0
32,"exclosure_1977","other",1980,3,0,0,0
33,"exclosure_1977","other",1980,4,1,0,0
34,"exclosure_1977","other",1980,5,2,0,0
35,"exclosure_1977","other",1980,6,1,150,243.882540674793
36,"exclosure_1977","other",1980,7,3,0,0
37,"exclosure_1977","other",1980,8,2,154,248.744110642271
38,"exclosure_1977","other",1980,9,1,0,0
39,"exclosure_1977","other",1980,10,1,0,0
40,"exclosure_1977","other",1980,11,1,0,0
41,"exclosure_1977","other",1980,12,2,0,0
42,"exclosure_1977","other",1981,1,2,0,0
43,"exclosure_1977","other",1981,1,1,0,0
43,"exclosure_1977","other",1981,2,1,0,0
44,"exclosure_1977","other",1981,3,0,0,0
45,"exclosure_1977","other",1981,5,0,0,0
46,"exclosure_1977","other",1981,6,2,0,0
47,"exclosure_1977","other",1981,7,2,158,253.574210279017
48,"exclosure_1977","other",1981,7,4,174,272.59896501792
49,"exclosure_1977","other",1981,8,3,0,0
50,"exclosure_1977","other",1981,9,2,165,261.954114666805
50,"exclosure_1977","other",1981,10,1,0,0
51,"exclosure_1977","other",1981,10,3,360,558.873275813081
52,"exclosure_1977","other",1981,11,1,157,252.36958043541
53,"exclosure_1977","other",1981,12,0,0,0
53,"exclosure_1977","other",1982,1,1,163,259.569087092598
54,"exclosure_1977","other",1982,1,0,0,0
55,"exclosure_1977","other",1982,2,2,356,552.769544245332
56,"exclosure_1977","other",1982,3,1,103,183.967109573043
57,"exclosure_1977","other",1982,4,3,255,452.998041700211
58,"exclosure_1977","other",1982,5,3,300,487.365923307352
59,"exclosure_1977","other",1982,6,3,468,750.426204749145
60,"exclosure_1977","other",1982,7,0,0,0
61,"exclosure_1977","other",1982,8,2,315,505.137488792868
62,"exclosure_1977","other",1982,9,0,0,0
63,"exclosure_1977","other",1982,11,2,211,336.979236003487
64,"exclosure_1977","other",1983,1,0,0,0
65,"exclosure_1977","other",1983,2,0,0,0
66,"exclosure_1977","other",1983,3,1,36.21052632,83.9920912227517
67,"exclosure_1977","other",1983,4,1,88.46170213,164.126510130875
68,"exclosure_1977","other",1983,5,1,110,193.266588328572
69,"exclosure_1977","other",1983,6,2,267,446.301721376602
70,"exclosure_1977","other",1983,7,1,134,224.099488446291
71,"exclosure_1977","other",1983,8,1,145,237.759713124729
72,"exclosure_1977","other",1983,9,3,285,469.330571299804
73,"exclosure_1977","other",1983,10,3,590,891.321805731037
74,"exclosure_1977","other",1983,11,1,148,241.439627806472
75,"exclosure_1977","other",1983,12,2,292,477.968486088078
76,"exclosure_1977","other",1984,2,3,664,976.155174108642
77,"exclosure_1977","other",1984,3,0,0,0
78,"exclosure_1977","other",1984,4,2,467,679.444259580492
79,"exclosure_1977","other",1984,5,2,366,563.517365108489
80,"exclosure_1977","other",1984,7,3,185,332.341768204256
81,"exclosure_1977","other",1984,7,1,0,0
81,"exclosure_1977","other",1984,8,2,341,534.747176135067
82,"exclosure_1977","other",1984,8,3,427,635.601756502815
83,"exclosure_1977","other",1984,9,3,250,396.507726473391
84,"exclosure_1977","other",1984,10,4,76,192.635526786102
85,"exclosure_1977","other",1984,12,3,32,76.5552096446982
86,"exclosure_1977","other",1985,1,0,0,0
87,"exclosure_1977","other",1985,2,1,141,232.823385949575
88,"exclosure_1977","other",1985,3,1,153,247.531708556524
89,"exclosure_1977","other",1985,5,1,0,0
90,"exclosure_1977","other",1985,6,1,0,0
91,"exclosure_1977","other",1985,7,1,0,0
92,"exclosure_1977","other",1985,8,3,157,252.36958043541
93,"exclosure_1977","other",1985,9,3,192.5347738,331.951144080805
94,"exclosure_1977","other",1985,10,1,0,0
95,"exclosure_1977","other",1985,11,3,180,319.104852774402
96,"exclosure_1977","other",1985,12,4,409,654.558074434161
97,"exclosure_1977","other",1986,3,3,212,360.222664493436
98,"exclosure_1977","other",1986,4,4,278,457.571506679892
99,"exclosure_1977","other",1986,5,1,138,229.098149462921
100,"exclosure_1977","other",1986,6,4,395,659.982419813187
101,"exclosure_1977","other",1986,7,0,0,0
102,"exclosure_1977","other",1986,8,3,0,0
103,"exclosure_1977","other",1986,9,2,172,270.245581240266
104,"exclosure_1977","other",1986,10,2,55,114.91700096632
105,"exclosure_1977","other",1986,11,2,0,0
106,"exclosure_1977","other",1986,12,1,177,276.116408733003
107,"exclosure_1977","other",1987,1,0,0,0
107,"exclosure_1977","other",1987,2,0,0,0
108,"exclosure_1977","other",1987,3,1,176,274.945595738535
109,"exclosure_1977","other",1987,4,1,199,301.47553442278
110,"exclosure_1977","other",1987,4,2,69,136.222574687631
111,"exclosure_1977","other",1987,5,2,275.75221239,451.01516486937
112,"exclosure_1977","other",1987,6,0,0,0
112,"exclosure_1977","other",1987,7,0,0,0
113,"exclosure_1977","other",1987,7,1,79,150.776127522502
114,"exclosure_1977","other",1987,8,2,228,393.224972330289
115,"exclosure_1977","other",1987,9,4,498,788.490039972557
116,"exclosure_1977","other",1987,10,2,180,279.618978758663
117,"exclosure_1977","other",1987,11,3,537,834.948133064562
118,"exclosure_1977","other",1988,1,2,407,613.106365773756
119,"exclosure_1977","other",1988,2,4,293,527.785530600267
120,"exclosure_1977","other",1988,3,4,368,628.713211164581
121,"exclosure_1977","other",1988,4,2,175,324.608010159021
122,"exclosure_1977","other",1988,5,3,288,522.278317167477
123,"exclosure_1977","other",1988,6,4,293,538.591758006666
124,"exclosure_1977","other",1988,7,3,403,667.120136833631
125,"exclosure_1977","other",1988,8,4,403,663.027170355253
126,"exclosure_1977","other",1988,9,2,0,0
127,"exclosure_1977","other",1988,10,3,143,279.350480879001
128,"exclosure_1977","other",1988,11,5,262,543.745791533078
129,"exclosure_1977","other",1988,12,3,422,690.169393175585
130,"exclosure_1977","other",1989,1,4,536,878.533142016321
131,"exclosure_1977","other",1989,2,4,528,867.891051013505
132,"exclosure_1977","other",1989,3,6,575,1013.270441915
133,"exclosure_1977","other",1989,4,4,481,817.25862290234
134,"exclosure_1977","other",1989,5,8,892,1522.81107601566
135,"exclosure_1977","other",1989,6,7,613,1128.60428904014
136,"exclosure_1977","other",1989,7,7,697,1228.59389419954
137,"exclosure_1977","other",1989,7,3,138,295.595870268679
138,"exclosure_1977","other",1989,9,6,547,926.867308516717
139,"exclosure_1977","other",1989,10,4,248,461.713595502583
140,"exclosure_1977","other",1989,11,4,225.5347738,412.302939798293
141,"exclosure_1977","other",1989,12,4,408,680.814038354296
142,"exclosure_1977","other",1990,1,3,162,339.616956269271
143,"exclosure_1977","other",1990,1,2,96,207.492531639527
144,"exclosure_1977","other",1990,2,2,147,285.455646477033
145,"exclosure_1977","other",1990,3,3,402,653.155118253789
146,"exclosure_1977","other",1990,4,3,92,183.772591927646
147,"exclosure_1977","other",1990,5,5,227,452.554224046554
148,"exclosure_1977","other",1990,6,3,61,138.834788598934
149,"exclosure_1977","other",1990,7,1,0,0
150,"exclosure_1977","other",1990,8,2,9,29.5661072852007
151,"exclosure_1977","other",1990,9,1,0,0
152,"exclosure_1977","other",1990,10,1,8,27.0663539374619
153,"exclosure_1977","other",1990,11,0,0,0
154,"exclosure_1977","other",1990,12,2,16,54.1327078749239
155,"exclosure_1977","other",1991,1,1,9,29.5661072852007
1,"exclosure_1988","other",1977,7,1,88.46170213,164.126510130875
2,"exclosure_1988","other",1977,8,1,162.5347738,259.013252088968
3,"exclosure_1988","other",1977,9,0,0,0
4,"exclosure_1988","other",1977,10,2,325.0695476,518.026504177937
5,"exclosure_1988","other",1977,11,1,162.5347738,259.013252088968
6,"exclosure_1988","other",1977,12,0,0,0
7,"exclosure_1988","other",1978,1,1,162.5347738,259.013252088968
8,"exclosure_1988","other",1978,2,1,228,333.859240945724
9,"exclosure_1988","other",1978,3,1,0,0
10,"exclosure_1988","other",1978,4,2,225,330.559128598803
11,"exclosure_1988","other",1978,5,1,174,272.59896501792
12,"exclosure_1988","other",1978,6,1,232,338.242561909173
13,"exclosure_1988","other",1978,7,0,0,0
14,"exclosure_1988","other",1978,8,1,179,278.453088719058
15,"exclosure_1988","other",1978,9,1,181,280.783250621175
16,"exclosure_1988","other",1978,10,1,162.5347738,259.013252088968
17,"exclosure_1988","other",1978,11,0,0,0
18,"exclosure_1988","other",1978,12,1,181,280.783250621175
