"period","trtmnt_1988","type","censusdate","nind","biomass","energy"
1,"control","other",1977-07-16,1,162.5347738,259.013252088968
2,"control","other",1977-08-19,2,325.0695476,518.026504177937
3,"control","other",1977-09-11,2,325.0695476,518.026504177937
4,"control","other",1977-10-16,2,325.0695476,518.026504177937
5,"control","other",1977-11-12,3,487.6043214,777.039756266905
6,"control","other",1977-12-10,2,325.0695476,518.026504177937
7,"control","other",1978-01-08,3,325.0695476,518.026504177937
8,"control","other",1978-02-18,1,218,322.815691313065
9,"control","other",1978-03-11,2,162.5347738,259.013252088968
10,"control","other",1978-04-08,1,162.5347738,259.013252088968
11,"control","other",1978-05-17,0,0,0
12,"control","other",1978-06-08,1,200,302.61103653617
13,"control","other",1978-07-07,0,0,0
14,"control","other",1978-08-04,2,388,591.516017319357
15,"control","other",1978-09-03,3,544,842.814932114239
16,"control","other",1978-10-06,3,487.6043214,777.039756266905
17,"control","other",1978-11-04,1,218,322.815691313065
18,"control","other",1978-12-02,1,223,328.352943374228
19,"control","other",1979-01-28,0,0,0
20,"control","other",1979-02-24,0,0,0
21,"control","other",1979-03-31,0,0,0
22,"control","other",1979-04-28,3,491,769.701145920504
23,"control","other",1979-05-29,4,392,694.363901574203
24,"control","other",1979-07-03,1,206,309.394565929118
25,"control","other",1979-07-24,0,0,0
26,"control","other",1979-08-21,1,72,140.640900585978
27,"control","other",1979-09-22,0,0,0
28,"control","other",1979-10-24,3,577,867.23540915056
29,"control","other",1979-11-17,2,403,608.285172203128
30,"control","other",1980-01-15,3,512,801.143366305973
31,"control","other",1980-02-24,0,0,0
32,"control","other",1980-03-21,1,97,175.869717951792
33,"control","other",1980-04-17,0,0,0
34,"control","other",1980-05-17,2,261,434.687279388765
35,"control","other",1980-06-22,0,0,0
36,"control","other",1980-07-21,0,0,0
37,"control","other",1980-08-13,1,173,271.423123345174
38,"control","other",1980-09-07,1,172,270.245581240266
39,"control","other",1980-10-11,1,200,302.61103653617
40,"control","other",1980-11-08,1,193,294.632226815801
41,"control","other",1980-12-15,1,189,290.040482896577
42,"control","other",1981-01-11,1,199,301.47553442278
43,"control","other",1981-01-31,1,195,296.919161146276
44,"control","other",1981-03-08,0,0,0
45,"control","other",1981-05-03,0,0,0
46,"control","other",1981-06-04,0,0,0
47,"control","other",1981-07-07,1,130,219.06337816878
48,"control","other",1981-07-30,0,0,0
49,"control","other",1981-08-30,2,173,271.423123345174
50,"control","other",1981-09-29,1,208,311.644715912889
51,"control","other",1981-10-24,1,235,341.517657623666
52,"control","other",1981-11-22,2,456,666.14862656921
53,"control","other",1981-12-30,2,289,465.860874168125
54,"control","other",1982-01-24,3,385,586.988477294429
55,"control","other",1982-02-22,2,428,636.538175431448
56,"control","other",1982-03-29,2,331,521.309343252123
57,"control","other",1982-04-28,1,217,321.704448835697
58,"control","other",1982-05-21,4,500,820.983182258914
59,"control","other",1982-06-28,4,494,823.664154121695
60,"control","other",1982-07-25,1,219,323.925660155204
61,"control","other",1982-08-15,2,264,442.213420842728
62,"control","other",1982-09-18,0,0,0
63,"control","other",1982-11-21,2,353,545.233015808598
64,"control","other",1983-01-12,1,239,345.868246503692
65,"control","other",1983-02-26,0,0,0
66,"control","other",1983-03-14,0,0,0
67,"control","other",1983-04-16,1,94,171.774287809203
68,"control","other",1983-05-14,0,0,0
69,"control","other",1983-06-17,2,214,377.472001613992
70,"control","other",1983-07-16,2,278,458.784747027827
71,"control","other",1983-08-15,4,572,937.748015659443
72,"control","other",1983-09-10,4,605,981.288719591733
73,"control","other",1983-10-15,5,653.5347738,1039.84142523448
74,"control","other",1983-11-12,2,322,514.33672009307
75,"control","other",1983-12-08,2,320,511.767886778247
76,"control","other",1984-02-04,0,0,0
77,"control","other",1984-03-12,0,0,0
78,"control","other",1984-04-09,1,157,252.36958043541
79,"control","other",1984-05-27,2,254,430.511695985443
80,"control","other",1984-07-03,2,256,433.051750437308
81,"control","other",1984-07-31,2,132,221.586202550956
82,"control","other",1984-08-25,2,286,470.453550219037
83,"control","other",1984-09-29,1,146,238.988447613837
84,"control","other",1984-10-20,1,126,213.988372268528
85,"control","other",1984-12-30,1,0,0
86,"control","other",1985-01-19,1,0,0
87,"control","other",1985-02-16,0,0,0
88,"control","other",1985-03-16,0,0,0
89,"control","other",1985-05-23,0,0,0
90,"control","other",1985-06-15,2,349,546.250899759907
91,"control","other",1985-07-23,5,621,994.711078852774
92,"control","other",1985-08-19,3,400,665.961045341898
93,"control","other",1985-09-21,1,155,249.954546123968
94,"control","other",1985-10-12,3,462,745.328610494
95,"control","other",1985-11-16,1,192,293.486539779646
96,"control","other",1985-12-07,1,160,255.977771226647
97,"control","other",1986-03-08,2,410,614.838386543426
98,"control","other",1986-04-12,0,0,0
99,"control","other",1986-05-10,5,639,1067.76068245455
100,"control","other",1986-06-04,3,522,811.451382487509
101,"control","other",1986-07-03,2,318,508.365956581615
102,"control","other",1986-08-09,1,180,279.618978758663
103,"control","other",1986-09-06,3,514,806.346813025357
104,"control","other",1986-10-04,1,221,326.14180592157
105,"control","other",1986-11-15,0,0,0
106,"control","other",1986-12-14,1,210,313.889463284743
107,"control","other",1987-01-31,2,417,621.717173353809
108,"control","other",1987-03-01,1,259,367.355959327363
109,"control","other",1987-04-04,2,456,666.479646261404
110,"control","other",1987-04-25,4,655,1010.84055915047
111,"control","other",1987-05-28,3,432,680.887136071399
112,"control","other",1987-06-30,2,396,595.02263232429
113,"control","other",1987-07-25,4,717,1095.97396213491
114,"control","other",1987-08-25,4,563,926.290064017708
115,"control","other",1987-09-26,5,867,1355.67842717722
116,"control","other",1987-10-24,4,737,1136.07198269659
117,"control","other",1987-11-21,3,606,911.762960859833
118,"control","other",1988-01-23,2,351,548.367409697131
119,"control","other",1988-02-21,2,348.5347738,545.593975456399
120,"control","other",1988-03-20,2,408,613.188157647708
121,"control","other",1988-04-17,2,238,399.951993018426
122,"control","other",1988-05-14,1,178,277.285569194229
123,"control","other",1988-06-11,3,420,691.618807910318
124,"control","other",1988-07-14,2,281,464.283654372668
125,"control","other",1988-08-09,3,508,799.363733957031
126,"control","other",1988-09-11,1,161,257.176732043323
127,"control","other",1988-10-08,2,332.5347738,526.898598192423
128,"control","other",1988-11-05,0,0,0
129,"control","other",1988-12-13,3,438,670.663216476415
130,"control","other",1989-01-10,2,180.5347738,308.737319347232
131,"control","other",1989-02-04,2,117,224.260646247416
132,"control","other",1989-03-12,4,695,1069.57096404163
133,"control","other",1989-04-01,3,231,419.588053069514
134,"control","other",1989-05-09,2,251.5347738,423.888237975647
135,"control","other",1989-06-03,3,195,368.711256358241
136,"control","other",1989-07-03,4,168,357.638594114902
137,"control","other",1989-07-29,2,113,221.389717951792
138,"control","other",1989-09-03,0,0,0
139,"control","other",1989-10-07,2,325,517.008240132968
140,"control","other",1989-11-04,4,278,503.80976189762
141,"control","other",1989-12-04,3,129,274.974655698114
142,"control","other",1990-01-06,3,154,324.098633705487
143,"control","other",1990-01-29,3,278,481.305953391805
144,"control","other",1990-02-24,6,610,1037.95341633953
145,"control","other",1990-03-29,4,213,446.10883042562
146,"control","other",1990-04-24,2,156,288.989325772797
147,"control","other",1990-05-23,1,34,80.1164051605652
148,"control","other",1990-06-21,0,0,0
149,"control","other",1990-07-21,2,50,126.279276902962
150,"control","other",1990-08-16,0,0,0
151,"control","other",1990-09-22,2,321,512.705308863264
152,"control","other",1990-10-15,2,333,526.017310609197
153,"control","other",1990-11-10,0,0,0
154,"control","other",1990-12-15,1,193,294.632226815801
155,"control","other",1991-01-11,0,0,0
1,"exclosure","other",1977-07-16,1,88.46170213,164.126510130875
