"period","brown_trtmnt","type","year","month","nind","biomass","energy"
1,"dipo_absent","other",1977,7,2,325.0695476,518.026504177937
2,"dipo_absent","other",1977,8,1,162.5347738,259.013252088968
3,"dipo_absent","other",1977,9,0,0,0
4,"dipo_absent","other",1977,10,0,0,0
5,"dipo_absent","other",1977,11,3,0,0
6,"dipo_absent","other",1977,12,2,0,0
7,"dipo_absent","other",1978,1,3,162.5347738,259.013252088968
8,"dipo_absent","other",1978,2,1,0,0
9,"dipo_absent","other",1978,3,2,232,338.242561909173
10,"dipo_absent","other",1978,4,2,182,281.945915474252
11,"dipo_absent","other",1978,5,2,182,281.945915474252
12,"dipo_absent","other",1978,6,2,0,0
13,"dipo_absent","other",1978,7,3,305,491.009155651807
14,"dipo_absent","other",1978,8,2,196,298.060427430412
15,"dipo_absent","other",1978,9,1,141,232.823385949575
16,"dipo_absent","other",1978,10,1,162.5347738,259.013252088968
17,"dipo_absent","other",1978,11,2,0,0
18,"dipo_absent","other",1978,12,1,0,0
19,"dipo_absent","other",1979,1,3,0,0
20,"dipo_absent","other",1979,2,2,0,0
21,"dipo_absent","other",1979,3,4,0,0
22,"dipo_absent","other",1979,4,3,0,0
23,"dipo_absent","other",1979,5,2,0,0
24,"dipo_absent","other",1979,7,1,0,0
25,"dipo_absent","other",1979,7,0,0,0
26,"dipo_absent","other",1979,8,1,0,0
27,"dipo_absent","other",1979,9,1,0,0
28,"dipo_absent","other",1979,10,1,0,0
29,"dipo_absent","other",1979,11,0,0,0
30,"dipo_absent","other",1980,1,0,0,0
31,"dipo_absent","other",1980,2,0,0,0
32,"dipo_absent","other",1980,3,0,0,0
33,"dipo_absent","other",1980,4,1,0,0
34,"dipo_absent","other",1980,5,2,0,0
35,"dipo_absent","other",1980,6,1,150,243.882540674793
1,"dipo_present","other",1977,7,0,0,0
2,"dipo_present","other",1977,8,1,162.5347738,259.013252088968
3,"dipo_present","other",1977,9,2,325.0695476,518.026504177937
4,"dipo_present","other",1977,10,2,325.0695476,518.026504177937
5,"dipo_present","other",1977,11,3,487.6043214,777.039756266905
6,"dipo_present","other",1977,12,3,487.6043214,777.039756266905
7,"dipo_present","other",1978,1,3,487.6043214,777.039756266905
