"period","trtmnt_1977","type","censusdate","nind","biomass","energy"
1,"control","other",1977-07-16,0,0,0
2,"control","other",1977-08-19,1,162.5347738,259.013252088968
3,"control","other",1977-09-11,2,325.0695476,518.026504177937
4,"control","other",1977-10-16,2,325.0695476,518.026504177937
5,"control","other",1977-11-12,3,487.6043214,777.039756266905
6,"control","other",1977-12-10,3,487.6043214,777.039756266905
7,"control","other",1978-01-08,3,487.6043214,777.039756266905
8,"control","other",1978-02-18,1,197,299.200238938645
9,"control","other",1978-03-11,1,0,0
10,"control","other",1978-04-08,0,0,0
11,"control","other",1978-05-17,0,0,0
12,"control","other",1978-06-08,0,0,0
13,"control","other",1978-07-07,1,113,197.206442630021
14,"control","other",1978-08-04,1,189,290.040482896577
15,"control","other",1978-09-03,3,465,747.330051360527
16,"control","other",1978-10-06,3,487.6043214,777.039756266905
17,"control","other",1978-11-04,1,153,247.531708556524
18,"control","other",1978-12-02,2,392,595.055571220299
19,"control","other",1979-01-28,0,0,0
20,"control","other",1979-02-24,0,0,0
21,"control","other",1979-03-31,0,0,0
22,"control","other",1979-04-28,2,325,506.557230508177
23,"control","other",1979-05-29,3,208,410.097433438878
24,"control","other",1979-07-03,0,0,0
25,"control","other",1979-07-24,1,151,245.100940013089
26,"control","other",1979-08-21,1,72,140.640900585978
27,"control","other",1979-09-22,0,0,0
28,"control","other",1979-10-24,2,303,484.035684352214
29,"control","other",1979-11-17,2,326,513.651807307707
30,"control","other",1980-01-15,3,448,723.176410302169
31,"control","other",1980-02-24,1,147,240.215079887395
32,"control","other",1980-03-21,1,97,175.869717951792
33,"control","other",1980-04-17,0,0,0
34,"control","other",1980-05-17,2,287,467.268273397076
35,"control","other",1980-06-22,0,0,0
36,"control","other",1980-07-21,1,80,152.205293412634
37,"control","other",1980-08-13,2,256,427.889431584181
38,"control","other",1980-09-07,2,315,505.5414459026
39,"control","other",1980-10-11,1,200,302.61103653617
40,"control","other",1980-11-08,1,193,294.632226815801
41,"control","other",1980-12-15,2,305,491.160713506146
42,"control","other",1981-01-11,1,199,301.47553442278
43,"control","other",1981-01-31,1,195,296.919161146276
44,"control","other",1981-03-08,0,0,0
45,"control","other",1981-05-03,0,0,0
46,"control","other",1981-06-04,3,263,489.01993853041
47,"control","other",1981-07-07,0,0,0
48,"control","other",1981-07-30,0,0,0
