"newmoonnumber","period","censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag","small_granivore","dipo","type","energy"
1,1,1977-07-16,7,16,1977,"new_exclosure",2,16,"NA","M",32,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,16,1977,"orig_exclosure",3,23,"NA","M",33,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,16,1977,"new_exclosure",2,25,"DM","F",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"orig_exclosure",3,26,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"new_exclosure",2,31,"PE","F",NA,21.98281643,"0","0",TRUE,FALSE,"small_granivore",57.7663285988927
1,1,1977-07-16,7,16,1977,"orig_exclosure",3,55,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"new_exclosure",8,55,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"control",4,66,"DM","F",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,16,1977,"orig_exclosure",3,72,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
1,1,1977-07-16,7,16,1977,"new_exclosure",2,73,"PP","M",22,17.61851292,"0","0",TRUE,FALSE,"small_granivore",48.9315759427635
1,1,1977-07-16,7,16,1977,"control",4,76,"PF",NA,NA,7.899749373,"0","0",TRUE,FALSE,"small_granivore",26.8115703456281
1,1,1977-07-16,7,17,1977,"control",11,14,"DS","F",48,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
1,1,1977-07-16,7,17,1977,"control",14,15,"DM","F",34,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"orig_exclosure",15,16,"NA","F",31,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,17,1977,"orig_exclosure",15,36,"DM","M",31,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"orig_exclosure",15,43,"DM","M",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,45,"DM","M",38,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,51,"PP","M",NA,17.61851292,"0","0",TRUE,FALSE,"small_granivore",48.9315759427635
1,1,1977-07-16,7,17,1977,"orig_exclosure",15,54,"DM","F",37,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,62,"DM","F",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",17,64,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",11,76,"DM","F",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,17,1977,"control",17,76,"NA","M",33,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
1,1,1977-07-16,7,17,1977,"control",11,77,"DM","F",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"orig_exclosure",21,14,"DM","M",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"new_exclosure",22,21,"DM","M",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"orig_exclosure",19,22,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"orig_exclosure",21,31,"DM","F",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"new_exclosure",22,34,"DM","M",36,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"new_exclosure",22,57,"DM",NA,NA,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"orig_exclosure",19,64,"DM","M",33,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
1,1,1977-07-16,7,18,1977,"orig_exclosure",19,66,"PE","M",20,21.98281643,"0","0",TRUE,FALSE,"small_granivore",57.7663285988927
1,1,1977-07-16,7,18,1977,"orig_exclosure",19,77,"DM","M",35,43.52721657,"0","0",FALSE,TRUE,"dipo",96.4235104463235
2,2,1977-08-19,8,19,1977,"orig_exclosure",3,13,"DM","M",35,40,"0","0",FALSE,TRUE,"dipo",90.5018089336904
2,2,1977-08-19,8,19,1977,"control",4,25,"DM","F",34,29,"0","0",FALSE,TRUE,"dipo",71.1067394489141
2,2,1977-08-19,8,19,1977,"control",4,26,"DM","F",35,46,"0","0",FALSE,TRUE,"dipo",100.503373641219
2,2,1977-08-19,8,19,1977,"new_exclosure",8,33,"DO","F",32,52,"0","0",FALSE,TRUE,"dipo",110.18304597148
2,2,1977-08-19,8,19,1977,"new_exclosure",2,52,"PF","M",15,8,"0","0",TRUE,FALSE,"small_granivore",27.0663539374619
2,2,1977-08-19,8,19,1977,"new_exclosure",2,63,"NA","M",31,162.5347738,"0","0",FALSE,FALSE,"other",259.013252088968
2,2,1977-08-19,8,19,1977,"orig_exclosure",3,64,"DS","F",44,119.9275604,"0","0",FALSE,TRUE,"dipo",206.206103493489
2,2,1977-08-19,8,19,1977,"new_exclosure",8,65,"PF","M",12,7,"0","0",TRUE,FALSE,"small_granivore",24.4870121320489
2,2,1977-08-19,8,19,1977,"new_exclosure",8,67,"DM","F",32,22,"0","0",FALSE,TRUE,"dipo",57.8001914615828
