"period","type","plot","nind","biomass","energy","plot_type"
1,"dipo",2,1,43.52721657,96.4235104463235,"second_control"
2,"dipo",2,0,0,0,"second_control"
3,"dipo",2,3,214.9275604,412.004067433193,"second_control"
4,"dipo",2,6,350.9275604,709.63399243076,"second_control"
5,"dipo",2,4,167,373.47293897297,"second_control"
6,"dipo",2,5,221,487.103534437202,"second_control"
7,"dipo",2,9,371,832.335538743009,"second_control"
8,"dipo",2,5,341,653.837921162608,"second_control"
9,"dipo",2,3,249,454.846384758342,"second_control"
10,"dipo",2,4,276,523.212069998009,"second_control"
11,"dipo",2,5,396,734.735211983623,"second_control"
12,"dipo",2,2,192,338.208350501166,"second_control"
13,"dipo",2,2,89,196.049615181565,"second_control"
14,"dipo",2,3,243,438.845562466856,"second_control"
15,"dipo",2,4,288,541.780127654207,"second_control"
16,"dipo",2,3,230,425.336495381287,"second_control"
17,"dipo",2,2,79,179.279794470891,"second_control"
18,"dipo",2,5,216,479.018023821479,"second_control"
19,"dipo",2,2,85,189.42108681255,"second_control"
20,"dipo",2,2,88,194.415895204093,"second_control"
21,"dipo",2,4,227,467.7602898697,"second_control"
22,"dipo",2,1,43,95.5462415403459,"second_control"
23,"dipo",2,3,148,317.617830674134,"second_control"
24,"dipo",2,0,0,0,"second_control"
25,"dipo",2,1,80,152.205293412634,"second_control"
26,"dipo",2,1,49,105.380274719703,"second_control"
27,"dipo",2,2,97,209.093389978876,"second_control"
28,"dipo",2,2,82,184.014862424354,"second_control"
29,"dipo",2,2,99,212.369432718011,"second_control"
30,"dipo",2,3,132,291.005078968233,"second_control"
31,"dipo",2,1,45,98.8602380143538,"second_control"
32,"dipo",2,2,103,218.337824296472,"second_control"
33,"dipo",2,3,144,311.077837434399,"second_control"
34,"dipo",2,2,99,212.026757750708,"second_control"
35,"dipo",2,3,185,371.905719448475,"second_control"
36,"dipo",2,1,43,95.5462415403459,"second_control"
37,"dipo",2,1,42,93.8748452722046,"second_control"
38,"dipo",2,1,45,98.8602380143538,"second_control"
39,"dipo",2,2,182,326.712157612993,"second_control"
40,"dipo",2,2,173,314.200839282446,"second_control"
41,"dipo",2,7,412,824.216890592296,"second_control"
42,"dipo",2,4,288,544.968613915216,"second_control"
43,"dipo",2,10,640,1259.08791293388,"second_control"
44,"dipo",2,7,521,984.599198098587,"second_control"
45,"dipo",2,4,302,571.135383943459,"second_control"
46,"dipo",2,4,300,565.220566778506,"second_control"
47,"dipo",2,2,189,335.38909629596,"second_control"
48,"dipo",2,2,90,197.720476028708,"second_control"
49,"dipo",2,0,0,0,"second_control"
50,"dipo",2,1,151,245.100940013089,"second_control"
51,"dipo",2,2,210,357.331906226787,"second_control"
52,"dipo",2,4,366,651.423099256933,"second_control"
53,"dipo",2,4,267,528.865559570591,"second_control"
54,"dipo",2,3,215,417.133249487145,"second_control"
55,"dipo",2,6,512,940.68978630577,"second_control"
56,"dipo",2,4,450,778.174188791747,"second_control"
57,"dipo",2,4,341,626.06721116554,"second_control"
58,"dipo",2,3,277,498.51940944779,"second_control"
59,"dipo",2,2,74,170.430054916903,"second_control"
60,"dipo",2,3,168,345.467740371528,"second_control"
61,"dipo",2,5,262.52721657,548.002521978698,"second_control"
62,"dipo",2,7,353,740.696925036021,"second_control"
63,"dipo",2,5,300,595.171233230816,"second_control"
64,"dipo",2,5,304,596.400543979444,"second_control"
65,"dipo",2,5,312,613.130106428962,"second_control"
66,"dipo",2,5,363,688.726998724241,"second_control"
67,"dipo",2,4,216,447.499293010954,"second_control"
68,"dipo",2,4,273,525.110467493458,"second_control"
69,"dipo",2,1,136,226.603413493298,"second_control"
70,"dipo",2,1,38,87.0863249865208,"second_control"
71,"dipo",2,3,320,552.467026941638,"second_control"
72,"dipo",2,6,545,973.460065384315,"second_control"
73,"dipo",2,6,648,1120.60032385789,"second_control"
