Plot,to1988,to2004,to2015,to2020,Use_first,Use_second,first_trt,second_trt,combined_trt
1,C,S,C,R,F,F,C,R,CR
2,C,C,C,E,T,T,C,E,CE
3,E,E,E,E,T,T,E,E,EE
4,C,C,C,C,T,T,C,C,CC
5,S,R,R,C,F,F,R,C,RC
6,C,E,E,C,T,T,E,C,EC
7,R,R,R,C,F,F,R,C,RC
8,C,C,C,E,T,T,C,E,CE
9,C,S,C,R,F,F,C,R,CR
10,R,R,R,R,F,F,R,R,RR
11,C,C,C,C,T,T,C,C,CC
12,C,C,C,R,T,F,C,R,CR
13,C,E,E,C,T,T,E,C,EC
14,C,C,C,C,T,T,C,C,CC
15,E,E,E,E,T,T,E,E,EE
16,R,R,R,R,F,F,R,R,RR
17,C,C,C,C,T,T,C,C,CC
18,C,E,E,C,T,T,E,C,EC
19,E,E,E,E,T,T,E,E,EE
20,C,E,E,E,T,T,E,E,EE
21,E,E,E,E,T,T,E,E,EE
22,C,C,C,E,T,T,C,E,CE
23,R,R,R,R,F,F,R,R,RR
24,S,R,R,C,F,F,R,C,RC
