"period","censusdate","era","plot_type","total_e","dipo_e","smgran_e","pb_e","pp_e","nplots"
27,1979-09-22,"a_pre_ba","CC",307.709041250177,307.709041250177,0,0,0,4
27,1979-09-22,"a_pre_ba","CE",237.577851210102,215.688153351343,21.889697858759,0,13.7273604814094,3
27,1979-09-22,"a_pre_ba","EE",23.335670710683,0,23.335670710683,0,15.1733333333333,3
28,1979-10-24,"a_pre_ba","CC",512.025107988602,500.645107988602,11.38,0,11.38,4
28,1979-10-24,"a_pre_ba","CE",278.24566661171,278.24566661171,0,0,0,3
28,1979-10-24,"a_pre_ba","EE",48.7586209702675,0,48.7586209702675,0,15.1733333333333,3
29,1979-11-17,"a_pre_ba","CC",485.371225976261,459.208172333661,26.1630536426004,0,11.38,4
29,1979-11-17,"a_pre_ba","CE",300.254798202846,292.092460825497,8.16233737734962,0,0,3
29,1979-11-17,"a_pre_ba","EE",99.1252855119198,0,99.1252855119198,0,0,3
30,1980-01-15,"a_pre_ba","CC",634.319738954739,612.807153749594,21.5125852051451,0,0,4
30,1980-01-15,"a_pre_ba","CE",332.038140487537,323.016022508383,9.02211797915398,0,0,3
30,1980-01-15,"a_pre_ba","EE",82.9712631216757,0,82.9712631216757,0,0,3
31,1980-02-24,"a_pre_ba","CC",285.599793659725,261.976287593701,23.6235060660244,0,0,4
31,1980-02-24,"a_pre_ba","CE",279.611082179373,251.149607431392,28.4614747479811,0,0,3
31,1980-02-24,"a_pre_ba","EE",102.750146132503,0,102.750146132503,0,0,3
32,1980-03-21,"a_pre_ba","CC",546.252970786781,541.496555367636,4.7564154191448,0,0,4
32,1980-03-21,"a_pre_ba","CE",267.661896324014,258.724706208805,8.93719011520935,0,0,3
32,1980-03-21,"a_pre_ba","EE",154.560000615481,32.9534126714513,121.60658794403,0,0,3
33,1980-04-17,"a_pre_ba","CC",479.580179559917,473.458426526905,6.12175303301222,0,0,4
33,1980-04-17,"a_pre_ba","CE",363.347146821568,338.031738336938,25.3154084846305,0,0,3
33,1980-04-17,"a_pre_ba","EE",78.6441471695843,0,78.6441471695843,0,0,3
34,1980-05-17,"a_pre_ba","CC",622.669041031247,615.902452546882,6.76658848436548,0,0,4
34,1980-05-17,"a_pre_ba","CE",365.967946228529,365.967946228529,0,0,0,3
34,1980-05-17,"a_pre_ba","EE",33.5091301112028,0,33.5091301112028,0,0,3
35,1980-06-22,"a_pre_ba","CC",802.028635813462,795.906882780449,6.12175303301222,0,0,4
35,1980-06-22,"a_pre_ba","CE",434.252056272101,434.252056272101,0,0,0,3
35,1980-06-22,"a_pre_ba","EE",16.574689086088,0,16.574689086088,0,0,3
